dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
breast-w,grid,0,0,0,42,0,isolate_S,0.971380308880309,0.9642857142857143,6.111111111111111,-7.0,4.730692625045776,6,100
breast-w,random,0,0,0,42,0,isolate_S,0.971380308880309,0.9642857142857143,6.403935408357594,-7.1051727576782335,4.507731914520264,13,100
breast-w,bo_tpe,0,0,0,42,0,isolate_S,0.971380308880309,0.9642857142857143,7.164750018200413,-7.408022102554927,4.542068004608154,12,100
breast-w,pso,0,0,0,42,0,isolate_S,0.9695945945945945,0.9571428571428572,4.856174727729076,-5.911778948911404,3.83528208732605,1,100
breast-w,de,0,0,0,42,0,isolate_S,0.9695785070785071,0.9642857142857143,2.1896743771209075,-5.253698035516349,4.603939771652222,1,100
breast-w,ga,0,0,0,42,0,isolate_S,0.9695945945945945,0.9571428571428572,8.768934611418802,-7.825304631994147,4.17372727394104,1,100
breast-w,sa,0,0,0,42,0,isolate_S,0.971380308880309,0.9642857142857143,5.952735304417031,-7.002345787399042,4.588372468948364,20,100
breast-w,grid,1,1,1,42,0,isolate_S,0.9767535392535394,0.95,6.111111111111111,-7.0,4.702865362167358,7,100
breast-w,random,1,1,1,42,0,isolate_S,0.9767535392535394,0.95,5.436966435001434,-7.536085080170576,4.337159633636475,11,100
breast-w,bo_tpe,1,1,1,42,0,isolate_S,0.9767535392535394,0.95,5.011866335026992,-6.4263612005667525,4.361109733581543,13,100
breast-w,pso,1,1,1,42,0,isolate_S,0.9767535392535394,0.95,8.856174727729076,-9.374009860039637,3.92734432220459,1,100
breast-w,de,1,1,1,42,0,isolate_S,0.9767535392535394,0.95,7.307702229625077,-8.093804023286097,4.0902099609375,1,100
breast-w,ga,1,1,1,42,0,isolate_S,0.9767535392535394,0.95,7.307702229625077,-8.093804023286097,4.04021143913269,1,100
breast-w,sa,1,1,1,42,0,isolate_S,0.9749678249678249,0.95,-1.2526647481243602,-5.021634518672138,4.380062580108643,19,100
breast-w,grid,2,2,2,42,0,isolate_S,0.9678088803088803,0.9571428571428572,-5.0,-5.0,4.6520068645477295,6,100
breast-w,random,2,2,2,42,0,isolate_S,0.9678088803088803,0.9714285714285714,1.3085670184836768,-8.453206123032793,4.687034368515015,13,100
breast-w,bo_tpe,2,2,2,42,0,isolate_S,0.9695945945945945,0.9714285714285714,-3.678341584012658,-5.0690880905308395,4.827228546142578,13,100
breast-w,pso,2,2,2,42,0,isolate_S,0.9678088803088803,0.9642857142857143,6.32339553675542,-12.891211304933108,3.9722933769226074,1,100
breast-w,de,2,2,2,42,0,isolate_S,0.9678088803088803,0.9642857142857143,0.9942378107476957,-7.391630018442148,4.3083672523498535,1,100
breast-w,ga,2,2,2,42,0,isolate_S,0.9678088803088803,0.9642857142857143,0.9942378107476957,-7.391630018442148,4.095944404602051,1,100
