dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
wdbc,grid,0,0,0,42,0,isolate_S,0.9824175824175824,0.9736842105263158,1.666666666666667,-5.0,5.556807041168213,26,100
wdbc,random,0,0,0,42,0,isolate_S,0.9802197802197804,0.9736842105263158,8.062166509307968,-10.440751154283925,5.25302791595459,15,100
wdbc,bo_tpe,0,0,0,42,0,isolate_S,0.9824175824175824,0.9736842105263158,9.381048859528434,-11.07066034330779,4.339053153991699,15,100
wdbc,pso,0,0,0,42,0,isolate_S,0.9824175824175824,0.9736842105263158,1.3125849976866737,-4.927780772195349,4.990370273590088,1,100
wdbc,de,0,0,0,42,0,isolate_S,0.9824175824175824,0.9736842105263158,7.739233746429086,-9.715859261899304,4.154331922531128,1,100
wdbc,ga,0,0,0,42,0,isolate_S,0.9824175824175824,0.9736842105263158,7.264780083241144,-9.423637695450674,3.982964038848877,1,100
wdbc,sa,0,0,0,42,0,isolate_S,0.9846153846153848,0.9736842105263158,2.007286858334417,-4.859817788860506,4.747064590454102,24,100
wdbc,grid,1,1,1,42,0,isolate_S,0.9802197802197804,0.9824561403508772,1.666666666666667,-5.0,5.424673080444336,36,100
wdbc,random,1,1,1,42,0,isolate_S,0.978021978021978,0.9824561403508772,8.952623918545298,-13.915941510673145,5.304903745651245,15,100
wdbc,bo_tpe,1,1,1,42,0,isolate_S,0.9802197802197804,0.9824561403508772,2.104916096452365,-5.384241014432047,5.063528299331665,12,100
wdbc,pso,1,1,1,42,0,isolate_S,0.9824175824175824,0.9736842105263158,2.32339553675542,-4.854753280039518,4.294615983963013,25,100
wdbc,de,1,1,1,42,0,isolate_S,0.978021978021978,0.9824561403508772,3.4250971496797176,-8.979592340209734,4.573740005493164,1,100
wdbc,ga,1,1,1,42,0,isolate_S,0.975824175824176,0.9824561403508772,9.905255376014876,-14.42584475655829,4.411455154418945,1,100
wdbc,sa,1,1,1,42,0,isolate_S,0.9802197802197804,0.9824561403508772,9.841610803625343,-15.0,4.398216485977173,24,100
wdbc,grid,2,2,2,42,0,isolate_S,0.975824175824176,0.9824561403508772,8.333333333333334,-15.0,5.16993260383606,25,100
wdbc,random,2,2,2,42,0,isolate_S,0.978021978021978,0.9824561403508772,9.088288038470656,-14.42689926843646,4.96237587928772,21,100
wdbc,bo_tpe,2,2,2,42,0,isolate_S,0.978021978021978,0.9824561403508772,6.138308623309868,-11.463602528562808,4.715440273284912,15,100
wdbc,pso,2,2,2,42,0,isolate_S,0.978021978021978,0.9824561403508772,9.370132621986352,-14.78082039932365,4.493692398071289,2,100
wdbc,de,2,2,2,42,0,isolate_S,0.978021978021978,0.9824561403508772,0.0871822707054352,-6.17390717864337,4.69350004196167,1,100
wdbc,ga,2,2,2,42,0,isolate_S,0.978021978021978,0.9736842105263158,8.93720181261333,-14.395459644501642,4.296522617340088,1,100
