dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
ozone-8hr,grid,0,0,0,42,0,isolate_S,0.9422745241136046,0.95069033530572,1.666666666666667,-5.0,59.9811954498291,1,100
ozone-8hr,random,0,0,0,42,0,isolate_S,0.9422793894058262,0.9388560157790928,8.062166509307968,-10.440751154283925,55.22394514083862,1,100
ozone-8hr,bo_tpe,0,0,0,42,0,isolate_S,0.9432670437268138,0.940828402366864,7.36384773900465,-10.023570295589051,43.13340544700623,1,100
ozone-8hr,pso,0,0,0,42,0,isolate_S,0.9442522654016908,0.9447731755424064,7.39953867080725,-9.795568089478548,42.62473917007446,1,100
ozone-8hr,de,0,0,0,42,0,isolate_S,0.9437584382411968,0.9447731755424064,7.307702229625077,-9.731972917354176,45.264667987823486,1,100
ozone-8hr,ga,0,0,0,42,0,isolate_S,0.9442510490786352,0.9428007889546351,7.323354079179811,-9.83277062784991,47.97601389884949,1,100
ozone-8hr,sa,0,0,0,42,0,isolate_S,0.9442522654016908,0.940828402366864,6.919190186056455,-9.379340534127984,57.86710834503174,1,100
ozone-8hr,grid,1,1,1,42,0,isolate_S,0.9467214012041598,0.9487179487179488,1.666666666666667,-5.0,59.59649920463562,35,100
ozone-8hr,random,1,1,1,42,0,isolate_S,0.9467189685580488,0.940828402366864,6.399298214025297,-4.364290297532882,54.4363534450531,1,100
ozone-8hr,bo_tpe,1,1,1,42,0,isolate_S,0.949188104360518,0.940828402366864,2.353969615058169,-4.510588719845258,51.56278467178345,2,100
ozone-8hr,pso,1,1,1,42,0,isolate_S,0.947707839202092,0.9368836291913216,2.8384948723172663,-4.867887982158699,54.828139305114746,1,100
ozone-8hr,de,1,1,1,42,0,isolate_S,0.94474730888524,0.9428007889546351,7.739233746429086,-10.143839152250337,47.811283349990845,1,100
ozone-8hr,ga,1,1,1,42,0,isolate_S,0.9467189685580488,0.940828402366864,8.710839689613895,-4.3732131311260485,50.86600136756897,1,100
ozone-8hr,sa,1,1,1,42,0,isolate_S,0.9457313142370614,0.940828402366864,8.056604526303085,-4.417234203491072,85.16422247886658,1,100
ozone-8hr,grid,2,2,2,42,0,isolate_S,0.9467214012041598,0.9428007889546351,1.666666666666667,-5.0,59.41348457336426,26,100
ozone-8hr,random,2,2,2,42,0,isolate_S,0.9472164446877092,0.9388560157790928,2.19015801147572,-7.133424831611854,54.37193202972412,1,100
ozone-8hr,bo_tpe,2,2,2,42,0,isolate_S,0.9472152283646535,0.9428007889546351,2.204151420947962,-6.354306606395549,42.421783208847046,1,100
ozone-8hr,pso,2,2,2,42,0,isolate_S,0.9462336556589432,0.9329388560157792,9.68192687325475,-10.47715680898873,42.37973928451538,1,100
ozone-8hr,de,2,2,2,42,0,isolate_S,0.9472200936568752,0.9349112426035504,8.710839689613895,-9.872841615353014,44.47628688812256,1,100
ozone-8hr,ga,2,2,2,42,0,isolate_S,0.9477090555251476,0.9388560157790928,7.685307317011478,-10.527177540379846,46.18896627426148,1,100
ozone-8hr,sa,2,2,2,42,0,isolate_S,0.9452374870765676,0.9447731755424064,9.526859055177251,-3.841989302605917,90.98942279815674,1,100
ozone-8hr,grid,3,3,3,42,0,isolate_S,0.9472091467493768,0.9428007889546351,6.111111111111111,-9.0,59.60657501220703,26,100
ozone-8hr,random,3,3,3,42,0,isolate_S,0.947210363072432,0.9447731755424064,8.556330735924602,-10.139856482541031,53.80883979797363,1,100
ozone-8hr,bo_tpe,3,3,3,42,0,isolate_S,0.9467177522349935,0.940828402366864,3.131340676916064,-6.1227114394823445,45.91310429573059,1,100
ozone-8hr,pso,3,3,3,42,0,isolate_S,0.948690628230858,0.9428007889546351,8.928501117102652,-10.953888134251864,42.78842830657959,1,100
ozone-8hr,de,3,3,3,42,0,isolate_S,0.9477041902329258,0.9428007889546351,4.842357348523774,-8.559686459236737,46.5037944316864,1,100
ozone-8hr,ga,3,3,3,42,0,isolate_S,0.9481992337164752,0.9447731755424064,9.614771418413149,-11.33389855744214,45.29375433921814,1,100
ozone-8hr,sa,3,3,3,42,0,isolate_S,0.9472091467493768,0.9349112426035504,2.466907896548019,-4.793793420493278,65.92750954627991,1,100
ozone-8hr,grid,4,4,4,42,0,isolate_S,0.9452411360457336,0.9487179487179488,6.111111111111111,-9.0,59.74352645874024,1,100
ozone-8hr,random,4,4,4,42,0,isolate_S,0.9437620872103633,0.9487179487179488,8.062166509307968,-10.440751154283925,53.8954062461853,1,100
ozone-8hr,bo_tpe,4,4,4,42,0,isolate_S,0.9457349632062276,0.9487179487179488,5.678859319175661,-8.4291997247051,47.6315176486969,1,100
ozone-8hr,pso,4,4,4,42,0,isolate_S,0.9462287903667214,0.9467455621301776,5.353693334422746,-8.162755851011037,41.88158869743347,1,100
ozone-8hr,de,4,4,4,42,0,isolate_S,0.946227574043666,0.95069033530572,5.231548738225191,-8.19913015235205,48.676552295684814,1,100
ozone-8hr,ga,4,4,4,42,0,isolate_S,0.9462263577206104,0.9487179487179488,5.54559621966802,-9.096674954857164,43.01735091209412,1,100
ozone-8hr,sa,4,4,4,42,0,isolate_S,0.9417831295992216,0.9447731755424064,1.3205746997656358,-6.246044179176488,79.77384161949158,1,100
ozone-8hr,grid,5,5,5,42,0,isolate_S,0.9462239250744996,0.930966469428008,6.111111111111111,-9.0,59.69202899932861,1,100
