dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
ilpd,grid,0,0,0,42,0,baseline,0.7210706932052163,0.7094017094017094,1.666666666666667,3.0,18.77903127670288,1,100
ilpd,random,0,0,0,42,0,baseline,0.7189201555708078,0.7094017094017094,9.284825990982227,2.979246118221596,18.180986642837524,8,100
ilpd,bo_tpe,0,0,0,42,0,baseline,0.7253260123541525,0.717948717948718,-0.425313890561333,2.738921708012543,12.026411771774292,52,100
ilpd,pso,0,0,0,42,0,baseline,0.7253260123541525,0.717948717948718,-0.1454239353078201,2.997439975540942,12.54740023612976,43,100
ilpd,de,0,0,0,42,0,baseline,0.71459620224205,0.7094017094017094,7.739233746429086,-10.143839152250337,14.864550352096558,1,100
ilpd,ga,0,0,0,42,0,baseline,0.71459620224205,0.7094017094017094,7.739233746429086,-10.143839152250337,11.77845859527588,1,100
ilpd,sa,0,0,0,42,0,baseline,0.7189201555708078,0.7094017094017094,14.636834854537607,3.0,14.232556343078612,7,100
ilpd,grid,1,1,1,42,1,baseline,0.7231297185998627,0.717948717948718,1.666666666666667,3.0,14.869763612747192,40,100
ilpd,random,1,1,1,42,1,baseline,0.725348890414093,0.7008547008547008,0.3985578353005214,1.1259519275292045,12.236446380615234,43,100
ilpd,bo_tpe,1,1,1,42,1,baseline,0.7231983527796844,0.717948717948718,-0.0223523957574975,1.9610968996183704,8.390113592147827,61,100
ilpd,pso,1,1,1,42,1,baseline,0.71459620224205,0.7094017094017094,-3.643528356859616,-9.300157633984648,8.438791275024414,2,100
ilpd,de,1,1,1,42,1,baseline,0.7253031342942119,0.7094017094017094,0.2249294800012107,2.9778733116497063,8.54947543144226,44,100
ilpd,ga,1,1,1,42,1,baseline,0.727476549988561,0.7008547008547008,0.8451666699956804,0.9627075181733864,7.76292872428894,63,100
ilpd,sa,1,1,1,42,1,baseline,0.7231983527796844,0.6923076923076923,0.2634387371408184,1.5976074809385503,9.258639574050903,48,100
ilpd,grid,2,2,2,42,2,baseline,0.7253946465339741,0.6837606837606838,-0.5555555555555554,-1.0,16.290462970733643,27,100
ilpd,random,2,2,2,42,2,baseline,0.7275223061084422,0.7094017094017094,0.2755705856003949,1.450478588972377,13.874738454818726,56,100
ilpd,bo_tpe,2,2,2,42,2,baseline,0.7425531914893618,0.7008547008547008,0.2641468413406764,0.9636510433955526,10.533329725265505,58,100
ilpd,pso,2,2,2,42,2,baseline,0.7425531914893618,0.6923076923076923,0.2394312577220751,0.9359671899505266,8.831090927124023,90,100
ilpd,de,2,2,2,42,2,baseline,0.7296270876229697,0.6837606837606838,0.2322426849863283,0.0605754442885002,10.259660482406616,61,100
ilpd,ga,2,2,2,42,2,baseline,0.71459620224205,0.7094017094017094,0.2322426849863283,-9.62715941854578,8.704426050186157,1,100
ilpd,sa,2,2,2,42,2,baseline,0.7188743994509267,0.7094017094017094,-0.3838474106387526,-3.2516126693518084,7.989291667938232,1,100
ilpd,grid,3,3,3,42,3,baseline,0.7381606039807826,0.6324786324786325,1.666666666666667,3.0,14.117988109588625,40,100
ilpd,random,3,3,3,42,3,baseline,0.7360787005261955,0.6752136752136753,8.20651812799225,1.4515548061068806,11.34406805038452,48,100
ilpd,bo_tpe,3,3,3,42,3,baseline,0.7403111416151912,0.6324786324786325,5.987175822874966,2.925802871556569,8.555010795593262,12,100
ilpd,pso,3,3,3,42,3,baseline,0.7403111416151912,0.6239316239316239,5.406146440924287,2.9528713964185003,9.567969560623167,33,100
ilpd,de,3,3,3,42,3,baseline,0.7403111416151912,0.6239316239316239,9.44329616284235,2.945645474127014,10.143776416778564,27,100
ilpd,ga,3,3,3,42,3,baseline,0.7381606039807826,0.6581196581196581,9.691543028184292,2.616671826511196,9.027963399887083,36,100
ilpd,sa,3,3,3,42,3,baseline,0.71459620224205,0.7094017094017094,2.078667423782159,-6.522127889320627,8.760481119155884,5,100
ilpd,grid,4,4,4,42,4,baseline,0.7252345001143905,0.6752136752136753,1.666666666666667,1.0,12.973222017288208,39,100
ilpd,random,4,4,4,42,4,baseline,0.7381148478609015,0.6837606837606838,2.082910763587307,1.6645547510266638,11.9147469997406,45,100
ilpd,bo_tpe,4,4,4,42,4,baseline,0.7337680164722032,0.6837606837606838,13.195571096685228,1.630364384101496,12.684086084365845,65,100
ilpd,pso,4,4,4,42,4,baseline,0.7316174788377945,0.7094017094017094,7.85367535746924,1.5125736391973326,14.5596022605896,11,100
ilpd,de,4,4,4,42,4,baseline,0.7359871882864335,0.7008547008547008,1.6288502764114554,1.7224749797775516,20.689371585845947,9,100
ilpd,ga,4,4,4,42,4,baseline,0.7359185541066118,0.6923076923076923,13.581334852561808,1.6160220135343226,11.79293441772461,9,100
ilpd,sa,4,4,4,42,4,baseline,0.71459620224205,0.7094017094017094,15.0,-14.445830147603946,15.3905987739563,9,100
ilpd,grid,5,5,5,42,5,baseline,0.7274307938686798,0.6923076923076923,6.111111111111111,1.0,14.917606830596924,29,100
ilpd,random,5,5,5,42,5,baseline,0.725257378174331,0.7094017094017094,13.533652304877483,1.427281746668097,13.905014038085938,1,100
ilpd,bo_tpe,5,5,5,42,5,baseline,0.7317547471974377,0.7008547008547008,14.81228416786385,0.7530849159397688,12.136249542236328,21,100
ilpd,pso,5,5,5,42,5,baseline,0.7317089910775568,0.6666666666666666,11.037532094098788,-10.307488986767016,10.121876955032349,1,100
ilpd,de,5,5,5,42,5,baseline,0.7317318691374972,0.7008547008547008,7.703652099742802,1.2383006986779876,9.796745300292969,13,100
ilpd,ga,5,5,5,42,5,baseline,0.7317547471974377,0.7008547008547008,8.32191041462445,0.7737512153502357,7.7223961353302,13,100
ilpd,sa,5,5,5,42,5,baseline,0.7317547471974377,0.7008547008547008,9.421635741961598,0.6837956995205148,9.19713854789734,65,100
ilpd,grid,6,6,6,42,6,baseline,0.7274307938686799,0.6666666666666666,8.333333333333334,-7.0,17.128993034362793,37,100
ilpd,random,6,6,6,42,6,baseline,0.7338595287119654,0.6752136752136753,7.368210169091768,-6.430040281079805,11.248196125030518,33,100
ilpd,bo_tpe,6,6,6,42,6,baseline,0.7274994280485017,0.6666666666666666,6.3361189488212695,-5.308431894326686,15.114148139953612,1,100
ilpd,pso,6,6,6,42,6,baseline,0.7317318691374972,0.6752136752136753,7.676694230758159,-6.52975558164063,13.418544292449951,39,100
ilpd,de,6,6,6,42,6,baseline,0.727476549988561,0.6666666666666666,8.486478610089872,-6.378126270949244,20.672961235046387,44,100
ilpd,ga,6,6,6,42,6,baseline,0.7295584534431481,0.6752136752136753,13.794205026170388,-9.250624926240494,17.228719472885132,50,100
ilpd,sa,6,6,6,42,6,baseline,0.725257378174331,0.6923076923076923,12.857203028720033,-9.02436350457881,15.83528184890747,1,100
ilpd,grid,7,7,7,42,7,baseline,0.7231525966598034,0.6581196581196581,12.77777777777778,-9.0,16.476868152618408,46,100
ilpd,random,7,7,7,42,7,baseline,0.7360787005261955,0.6581196581196581,8.380264817678276,-6.580448524590347,15.552180528640749,15,100
ilpd,bo_tpe,7,7,7,42,7,baseline,0.736101578586136,0.6666666666666666,9.31570454518013,-7.002737952950751,20.55046010017395,31,100
ilpd,pso,7,7,7,42,7,baseline,0.7296499656829102,0.6666666666666666,10.313339626787071,-7.403257699580191,11.40355348587036,40,100
ilpd,de,7,7,7,42,7,baseline,0.7211164493250972,0.6923076923076923,0.0973917530824923,-0.8061312821792979,11.03873610496521,4,100
ilpd,ga,7,7,7,42,7,baseline,0.736101578586136,0.6495726495726496,9.18805564396051,-6.897709872016899,7.091222047805786,63,100
ilpd,sa,7,7,7,42,7,baseline,0.7274536719286205,0.6923076923076923,-0.4704411017097585,-2.505263350024556,6.840431928634644,9,100
ilpd,grid,8,8,8,42,8,baseline,0.7169068862960423,0.6837606837606838,-0.5555555555555554,-1.0,14.338773250579834,1,100
